Ativo,Data,Intervalo,Volume
BTCUSDT,2025-04-29 09:00:00,1h,502.20502
BTCUSDT,2025-04-29 10:00:00,1h,366.65829
BTCUSDT,2025-04-29 11:00:00,1h,592.08053
BTCUSDT,2025-04-29 12:00:00,1h,909.96441
BTCUSDT,2025-04-29 13:00:00,1h,647.8607
BTCUSDT,2025-04-29 14:00:00,1h,835.05
BTCUSDT,2025-04-29 15:00:00,1h,960.27981
BTCUSDT,2025-04-29 16:00:00,1h,429.05785
BTCUSDT,2025-04-29 17:00:00,1h,1089.04376
BTCUSDT,2025-04-29 18:00:00,1h,871.36794
BTCUSDT,2025-04-29 19:00:00,1h,703.13824
BTCUSDT,2025-04-29 20:00:00,1h,428.02418
BTCUSDT,2025-04-29 21:00:00,1h,361.89077
BTCUSDT,2025-04-29 22:00:00,1h,783.01509
BTCUSDT,2025-04-29 23:00:00,1h,1003.3656
BTCUSDT,2025-04-30 00:00:00,1h,1020.00752
BTCUSDT,2025-04-30 01:00:00,1h,519.07237
BTCUSDT,2025-04-30 02:00:00,1h,309.08102
BTCUSDT,2025-04-30 03:00:00,1h,360.20236
BTCUSDT,2025-04-30 04:00:00,1h,576.60185
BTCUSDT,2025-04-30 05:00:00,1h,666.1487
BTCUSDT,2025-04-30 06:00:00,1h,422.26665
BTCUSDT,2025-04-30 07:00:00,1h,295.17447
BTCUSDT,2025-04-30 08:00:00,1h,464.06662
BTCUSDT,2025-04-30 09:00:00,1h,332.70984
BTCUSDT,2025-04-30 10:00:00,1h,391.75434
BTCUSDT,2025-04-30 11:00:00,1h,316.93061
BTCUSDT,2025-04-30 12:00:00,1h,619.85078
BTCUSDT,2025-04-30 13:00:00,1h,1664.41996
BTCUSDT,2025-04-30 14:00:00,1h,2712.01725
BTCUSDT,2025-04-30 15:00:00,1h,3158.62006
BTCUSDT,2025-04-30 16:00:00,1h,722.10473
BTCUSDT,2025-04-30 17:00:00,1h,690.56111
BTCUSDT,2025-04-30 18:00:00,1h,402.85742
BTCUSDT,2025-04-30 19:00:00,1h,510.06539
BTCUSDT,2025-04-30 20:00:00,1h,432.10412
BTCUSDT,2025-04-30 21:00:00,1h,896.76548
BTCUSDT,2025-04-30 22:00:00,1h,330.16484
BTCUSDT,2025-04-30 23:00:00,1h,512.06584
BTCUSDT,2025-05-01 00:00:00,1h,355.66929
BTCUSDT,2025-05-01 01:00:00,1h,326.248
BTCUSDT,2025-05-01 02:00:00,1h,502.12633
BTCUSDT,2025-05-01 03:00:00,1h,891.42578
BTCUSDT,2025-05-01 04:00:00,1h,1157.63769
BTCUSDT,2025-05-01 05:00:00,1h,258.99247
BTCUSDT,2025-05-01 06:00:00,1h,677.05143
BTCUSDT,2025-05-01 07:00:00,1h,467.41491
BTCUSDT,2025-05-01 08:00:00,1h,476.89004
BTCUSDT,2025-05-01 09:00:00,1h,423.56462
BTCUSDT,2025-05-01 10:00:00,1h,1159.84689
