Ativo,Data,Intervalo,Volume
BTCUSDT,2025-05-03 05:12:00,1m,1.88087
BTCUSDT,2025-05-03 05:13:00,1m,1.22189
BTCUSDT,2025-05-03 05:14:00,1m,1.12811
BTCUSDT,2025-05-03 05:15:00,1m,0.53531
BTCUSDT,2025-05-03 05:16:00,1m,0.78393
BTCUSDT,2025-05-03 05:17:00,1m,10.14135
BTCUSDT,2025-05-03 05:18:00,1m,5.18924
BTCUSDT,2025-05-03 05:19:00,1m,1.59877
BTCUSDT,2025-05-03 05:20:00,1m,2.37516
BTCUSDT,2025-05-03 05:21:00,1m,44.54512
BTCUSDT,2025-05-03 05:22:00,1m,4.02618
BTCUSDT,2025-05-03 05:23:00,1m,26.26877
BTCUSDT,2025-05-03 05:24:00,1m,3.28922
BTCUSDT,2025-05-03 05:25:00,1m,2.6142
BTCUSDT,2025-05-03 05:26:00,1m,1.12773
BTCUSDT,2025-05-03 05:27:00,1m,24.92107
BTCUSDT,2025-05-03 05:28:00,1m,2.88527
BTCUSDT,2025-05-03 05:29:00,1m,0.47995
BTCUSDT,2025-05-03 05:30:00,1m,1.45329
BTCUSDT,2025-05-03 05:31:00,1m,0.31644
BTCUSDT,2025-05-03 05:32:00,1m,0.44474
BTCUSDT,2025-05-03 05:33:00,1m,1.82148
BTCUSDT,2025-05-03 05:34:00,1m,2.64571
BTCUSDT,2025-05-03 05:35:00,1m,5.10189
BTCUSDT,2025-05-03 05:36:00,1m,5.15195
BTCUSDT,2025-05-03 05:37:00,1m,2.51081
BTCUSDT,2025-05-03 05:38:00,1m,2.08147
BTCUSDT,2025-05-03 05:39:00,1m,0.67882
BTCUSDT,2025-05-03 05:40:00,1m,0.93191
BTCUSDT,2025-05-03 05:41:00,1m,1.36009
BTCUSDT,2025-05-03 05:42:00,1m,8.47035
BTCUSDT,2025-05-03 05:43:00,1m,5.58546
BTCUSDT,2025-05-03 05:44:00,1m,0.77229
BTCUSDT,2025-05-03 05:45:00,1m,5.64218
